# aws-pricing-seoul.csv
# Region: ap-northeast-2 (Seoul) | Final validated: 2026-07-11
# Sources: aws pricing get-products + describe-spot-price-history
# 1h/1d/1m = purchasing option in resource; reserved_* = RI or same as operating (never blank)
# Month=730h. Human twin: aws-pricing-seoul.xlsx. Report: aws-pricing-seoul-validation.md

### TABLE 1 — MVP (Spot compute + Single-AZ data + free edge)
service,resource,1h,1d,1m,reserved_1y_1h,reserved_1y_1d,reserved_1y_1m,reserved_3y_1h,reserved_3y_1d,reserved_3y_1m,notes
S3,Standard storage ~150GB weights+idle+replays+tfstate,0.005137,0.1233,3.75,0.005137,0.1233,3.75,0.005137,0.1233,3.75,$0.025/GB-mo * 150GB. Larger weight set + more replay retention.
CloudWatch,Logs ingest ~10GB/mo Standard class @ $0.76/GB,0.010411,0.2499,7.6,0.010411,0.2499,7.6,0.010411,0.2499,7.6,Higher request/log volume under paying traffic.
DataTransfer,Internet egress ~200GB @ $0.126/GB (first 10TB),0.034521,0.8285,25.2,0.034521,0.8285,25.2,0.034521,0.8285,25.2,Viewer signaling + API responses. LiveKit media UDP separate path.
SSM-ParameterStore,SecureString Standard tier (<4KB params) FREE,0,0,0,0,0,0,0,0,0,Same free secrets store. Rotate manually or later Secrets Manager.
Cloudflare,Free plan DNS + rate-limit + basic DDoS/WAF,0,0,0,0,0,0,0,0,0,"Still Free unless advanced WAF needed (Pro $20/mo optional, not included)."
DockerHub,4 public repos FREE,0,0,0,0,0,0,0,0,0,Public images remain OK. Switch to private/ECR only if license requires.
SNS,Email alerts free tier,0,0,0,0,0,0,0,0,0,Deploy + billing + alarm fan-out.
S3-Gateway-Endpoint,Gateway VPC Endpoint for S3 FREE,0,0,0,0,0,0,0,0,0,Same free S3 private path as MVP.
IGW,Internet Gateway FREE,0,0,0,0,0,0,0,0,0,Public subnet only design retained.
TOTAL,BASE stack LMCache ON (operating 1h/1d/1m),2.6247,62.99,1916.07,1.8156,43.58,1325.5,1.3767,33.04,1005,reserved_* never blank: no-RI services copy 1h/1d/1m. Final validated Seoul 2026-07-11.
TOTAL,Stack with RI 1y where available (else operating),1.8156,43.58,1325.5,1.8156,43.58,1325.5,1.3767,33.04,1005,Sum reserved_1y_* across every service row.
TOTAL,Stack with RI 3y where available (else operating),1.3767,33.04,1005,1.8156,43.58,1325.5,1.3767,33.04,1005,Sum reserved_3y_* across every service row.

### TABLE 2b — PROD-only OPTIONAL add-ons (NOT in base TOTAL)
service,resource,1h,1d,1m,reserved_1y_1h,reserved_1y_1d,reserved_1y_1m,reserved_3y_1h,reserved_3y_1d,reserved_3y_1m,notes
ECR,Private image storage ~10GB @ $0.10/GB-mo,0.00137,0.0329,1,0.00137,0.0329,1,0.00137,0.0329,1,OPTIONAL. Only if private images needed (license-restricted weights in image).
NAT-Gateway,NAT Gateway hourly fee (if private subnet required),0.059,1.416,43.07,0.059,1.416,43.07,0.059,1.416,43.07,OPTIONAL. $0.059/h + $0.059/GB processed. Only if compliance forces private subnet.
Secrets-Manager,1 secret with auto-rotation,0.000548,0.0132,0.4,0.000548,0.0132,0.4,0.000548,0.0132,0.4,OPTIONAL. $0.40/secret/mo + $0.05/10k API. Only when RDS password auto-rotate needed.
AWS-WAF,2 rules + ~1M requests/mo (if leave Cloudflare),0.003562,0.0855,2.6,0.003562,0.0855,2.6,0.003562,0.0855,2.6,OPTIONAL. If compliance blocks Cloudflare. ~$0.60/rule + $0.60/1M requests.
Route53,1 hosted zone (if leave Cloudflare DNS),0.000685,0.0164,0.5,0.000685,0.0164,0.5,0.000685,0.0164,0.5,OPTIONAL. $0.50/zone/mo + query fees. Only if not using Cloudflare DNS.
